scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.1,0.4,22,0.049832258,-0.023678773866666666,0.0974169936,26029621.0
SME Fund (£25M),0.1,0.4,23,0.048761108,-0.04897137386666667,0.0798420576,25891382.08
SME Fund (£25M),0.1,0.4,24,0.049912648,0.0798602368,0.5338213376,26965005.52
SME Fund (£25M),0.1,0.4,25,0.049556006,0.0792896096,0.1845358432,26519125.96
SME Fund (£25M),0.1,0.4,26,0.048829186,-0.06285323573333333,0.0716654352,25830465.88
SME Fund (£25M),0.1,0.4,27,0.049198156,-0.15294644373333333,0.0184360032,25433458.96
SME Fund (£25M),0.1,0.4,28,0.049912402,-0.0022338501333333334,0.1104634704,26127950.44
SME Fund (£25M),0.1,0.4,29,0.04998841,-0.05427719733333333,0.07940772,25895488.36
SME Fund (£25M),0.1,0.4,30,0.049473064,0.012911889066666666,0.1185667968,26186089.36
SME Fund (£25M),0.1,0.4,31,0.049987602,0.0799801632,0.1738556064,26516997.16
SME Fund (£25M),0.1,0.4,32,0.04941606,0.051228336,0.141428976,26357213.68
SME Fund (£25M),0.1,0.4,33,0.049917344,-0.06751891626666667,0.0713035008,25834280.32
SME Fund (£25M),0.1,0.4,34,0.04986017,-0.09984483466666666,0.05177988,25687510.12
SME Fund (£25M),0.1,0.4,35,0.049452574,0.02305738506666667,0.1246081968,26231276.92
SME Fund (£25M),0.1,0.4,36,0.049875272,-0.04948431146666667,0.0820300224,25914476.8
SME Fund (£25M),0.1,0.4,37,0.049599164,-0.05518184426666667,0.0779930208,25882542.64
SME Fund (£25M),0.1,0.4,38,0.04998484,-0.008184309333333334,0.107055456,26102824.96
SME Fund (£25M),0.1,0.4,39,0.049895092,0.007725293866666667,0.1164001824,26172371.92
SME Fund (£25M),0.1,0.4,40,0.04990924,0.026936170666666665,0.1279584,26259143.44
SME Fund (£25M),0.1,0.4,41,0.049874078,0.0797985248,0.1767420256,26517653.56
SME Fund (£25M),0.1,0.4,42,0.049957252,0.0799316032,0.3404162624,26724408.88
SME Fund (£25M),0.1,0.4,43,0.049959532,0.0002456778666666667,0.1120567584,26140182.88
SME Fund (£25M),0.1,0.4,44,0.049901158,0.0798418528,0.2253263456,26579088.04
SME Fund (£25M),0.1,0.4,45,0.049475206,0.04662767626666667,0.1388010672,26337859.24
SME Fund (£25M),0.1,0.4,46,0.049897574,-0.010469068266666666,0.1054891248,26090553.88
SME Fund (£25M),0.1,0.4,47,0.047624562,-0.0026877808,0.1050663504,26073745.0
SME Fund (£25M),0.1,0.4,48,0.04989628,0.079834048,0.624380672,27077779.12
SME Fund (£25M),0.1,0.4,49,0.049273388,-0.035265965866666665,0.0892128096,25964736.4
Mid-Market DL (£100M),0.02,0.4,0,0.06,0.07426559,0.759412472,113279436.52
Mid-Market DL (£100M),0.02,0.4,1,0.06,0.07860901,0.404963194,109821812.14
Mid-Market DL (£100M),0.02,0.4,2,0.06,0.0683846085,0.402426739,109591959.56
Mid-Market DL (£100M),0.02,0.4,3,0.06,0.083948795,0.543421738,111313193.28
Mid-Market DL (£100M),0.02,0.4,4,0.06,0.09915413,0.508730686,111270389.46
Mid-Market DL (£100M),0.02,0.4,5,0.06,0.08962637,0.771701096,113709538.36
Mid-Market DL (£100M),0.02,0.4,6,0.06,0.09844844,0.534043342,111509402.22
Mid-Market DL (£100M),0.02,0.4,7,0.06,0.09115855,0.533569326,111358864.26
Mid-Market DL (£100M),0.02,0.4,8,0.06,0.070096902,0.51758522,110777790.24
Mid-Market DL (£100M),0.02,0.4,9,0.06,0.09368154,0.519848288,111272113.68
Mid-Market DL (£100M),0.02,0.4,10,0.06,0.094233585,0.775386868,113838540.38
Mid-Market DL (£100M),0.02,0.4,11,0.06,0.094380235,0.388213792,109969742.62
Mid-Market DL (£100M),0.02,0.4,12,0.06,0.096818455,0.777454764,113910916.74
Mid-Market DL (£100M),0.02,0.4,13,0.06,0.0684655215,0.231374529,107883055.72
Mid-Market DL (£100M),0.02,0.4,14,0.06,0.09125071,0.773000568,113755019.88
Mid-Market DL (£100M),0.02,0.4,15,0.06,0.079604865,0.279933386,108591431.16
Mid-Market DL (£100M),0.02,0.4,16,0.06,0.07021699875,0.4722644985,110326984.96
Mid-Market DL (£100M),0.02,0.4,17,0.06,0.09907032,0.779256256,113973968.96
Mid-Market DL (£100M),0.02,0.4,18,0.06,0.09043754,0.582103654,111829787.34
Mid-Market DL (£100M),0.02,0.4,19,0.06,0.091316975,0.63714666,112397806.1
