scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
High Equity (10%),0.04,0.0,3,0.05,0.0796448,0.2085824,1071787.2
High Equity (10%),0.04,0.0,4,0.05,0.0789792,0.0618912,1056984.96
High Equity (10%),0.04,0.0,5,0.05,0.0689844,0.2210052,1070897.4
High Equity (10%),0.04,0.0,6,0.05,0.0794748,0.0722316,1058118.12
High Equity (10%),0.04,0.0,7,0.05,0.0776636,0.2810252,1078635.24
High Equity (10%),0.04,0.0,8,0.05,0.0792748,0.292974,1080152.36
High Equity (10%),0.04,0.0,9,0.05,0.078904,0.4261968,1093400.48
High Equity (10%),0.04,0.0,10,0.05,0.0796864,0.2953232,1080469.6
High Equity (10%),0.04,0.0,11,0.05,0.0791052,0.2242044,1073241.48
High Equity (10%),0.04,0.0,12,0.05,0.0723376,0.2419872,1073666.24
High Equity (10%),0.04,0.0,13,0.05,0.0753772,0.2336364,1073439.08
High Equity (10%),0.04,0.0,14,0.05,0.0667324,0.2636764,1074714.12
High Equity (10%),0.04,0.0,15,0.05,0.0798132,0.361866,1087149.24
High Equity (10%),0.04,0.0,16,0.05,0.0783268,0.2615732,1076822.68
High Equity (10%),0.04,0.0,17,0.05,0.0695772,0.0642044,1055335.88
High Equity (10%),0.04,0.0,18,0.05,0.0773616,0.1955136,1070023.68
High Equity (10%),0.04,0.0,19,0.05,0.0729924,0.3500612,1084604.6
High Equity (10%),0.04,0.0,20,0.05,0.0719844,0.1966212,1069059.0
High Equity (10%),0.04,0.0,21,0.05,0.0788592,0.1714192,1067913.76
High Equity (10%),0.04,0.0,22,0.05,0.0793092,0.113786,1062240.44
High Equity (10%),0.04,0.0,23,0.05,0.0793172,0.3424084,1085104.28
High Equity (10%),0.04,0.0,24,0.05,0.0682572,0.1623964,1064891.08
High Equity (10%),0.04,0.0,25,0.05,0.0771808,0.2375456,1074190.72
High Equity (10%),0.04,0.0,26,0.05,0.0789768,0.17026,1067821.36
High Equity (10%),0.04,0.0,27,0.05,0.0799344,0.2886496,1079851.84
High Equity (10%),0.04,0.0,28,0.05,0.078856,0.4234832,1093119.52
High Equity (10%),0.04,0.0,29,0.05,0.0787552,0.2666944,1077420.48
High Equity (10%),0.04,0.0,30,0.05,0.0796168,0.515636,1102486.96
High Equity (10%),0.04,0.0,31,0.05,0.0789752,0.437244,1094519.44
High Equity (10%),0.04,0.0,32,0.05,0.0793472,0.1489024,1065759.68
High Equity (10%),0.04,0.0,33,0.05,0.056694,0.4704028,1093379.08
