scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.05,0.4,15,0.049906326,0.0798501216,0.7504684512,27235650.04
SME Fund (£25M),0.05,0.4,16,0.048712414,0.0779398624,0.5919882848,27006508.12
SME Fund (£25M),0.05,0.4,17,0.049971148,0.0799538368,0.6060842816,27056855.2
SME Fund (£25M),0.05,0.4,18,0.049892286,0.0798276576,0.5961494112,27042386.2
SME Fund (£25M),0.05,0.4,19,0.04963247,0.079411952,0.5844652,27021025.72
SME Fund (£25M),0.05,0.4,20,0.049778834,0.0796461344,0.7311883168,27208235.08
SME Fund (£25M),0.05,0.4,21,0.048732148,0.0779714368,0.4929104576,26883173.92
SME Fund (£25M),0.05,0.4,22,0.049896052,0.0798336832,0.8799952064,27397291.36
SME Fund (£25M),0.05,0.4,23,0.049805292,0.0796884672,0.8176421184,27316990.24
SME Fund (£25M),0.05,0.4,24,0.049931566,0.0798905056,0.6695277152,27135130.36
SME Fund (£25M),0.05,0.4,25,0.049998836,0.0799981376,0.7279788352,27209943.28
SME Fund (£25M),0.05,0.4,26,0.04986399,0.079782384,0.642301296,27099340.36
SME Fund (£25M),0.05,0.4,27,0.049925708,0.0798811328,0.7367050816,27218949.76
SME Fund (£25M),0.05,0.4,28,0.04956519,0.079304304,0.913018992,27429968.68
SME Fund (£25M),0.05,0.4,29,0.049881722,0.0798107552,0.6393062944,27096057.64
SME Fund (£25M),0.05,0.4,30,0.049917692,0.0798683072,0.9742252864,27515641.6
SME Fund (£25M),0.05,0.4,31,0.048005956,0.0768095296,0.6187356992,27021574.48
SME Fund (£25M),0.05,0.4,32,0.049986984,0.0799791744,0.3365230848,26720315.44
SME Fund (£25M),0.05,0.4,33,0.049988324,0.0799813184,0.6365714368,27095410.72
SME Fund (£25M),0.05,0.4,34,0.049194878,0.0787118048,0.2796580576,26628639.4
SME Fund (£25M),0.05,0.4,35,0.049982576,0.0799721216,0.7197928192,27199288.0
